auction_date,type,term,cusip,reopening,offering_amount
2004-01-07,Note,5-Year,912828BV1,No,16000000000
2004-01-29,Note,2-Year,912828BX7,No,26000000000
2004-02-10,Note,3-Year,912828BY5,No,24000000000
2004-02-11,Note,5-Year,912828BZ2,No,16000000000
2004-02-12,Note,10-Year,912828CA6,No,16000000000
2004-02-25,Note,2-Year,912828CB4,No,26000000000
2004-03-10,Note,5-Year,912828CC2,No,16000000000
2004-03-11,Note,9-Year 11-Month,912828CA6,Yes,11000000000
2004-03-24,Note,2-Year,912828CD0,No,26000000000
2004-04-06,Note,5-Year,912828CE8,No,16000000000
2004-04-28,Note,2-Year,912828CF5,No,26000000000
2004-05-11,Note,3-Year,912828CG3,No,24000000000
2004-05-12,Note,5-Year,912828CH1,No,15000000000
2004-05-13,Note,10-Year,912828CJ7,No,15000000000
2004-05-26,Note,2-Year,912828CK4,No,25000000000
2004-06-09,Note,5-Year,912828CL2,No,15000000000
2004-06-10,Note,9-Year 11-Month,912828CJ7,Yes,10000000000
2004-06-23,Note,2-Year,912828CM0,No,25000000000
2004-07-07,Note,5-Year,912828CN8,No,15000000000
2004-07-28,Note,2-Year,912828CQ1,No,24000000000
2004-08-09,Note,3-Year,912828CR9,No,22000000000
2004-08-11,Note,5-Year,912828CS7,No,15000000000
2004-08-12,Note,10-Year,912828CT5,No,14000000000
2004-08-25,Note,2-Year,912828CU2,No,24000000000
2004-09-08,Note,5-Year,912828CV0,No,15000000000
2004-09-09,Note,9-Year 11-Month,912828CT5,Yes,9000000000
2004-09-29,Note,2-Year,912828CW8,No,24000000000
2004-10-06,Note,5-Year,912828CX6,No,15000000000
2004-10-27,Note,2-Year,912828CY4,No,24000000000
2004-11-08,Note,3-Year,912828AN0,Yes,22000000000
2004-11-09,Note,5-Year,912828DB3,No,15000000000
2004-11-10,Note,10-Year,912828DC1,No,14000000000
2004-11-23,Note,2-Year,912828DD9,No,24000000000
2004-12-08,Note,5-Year,912828DE7,No,15000000000
2004-12-09,Note,9-Year 11-Month,912828DC1,Yes,9000000000
2004-12-29,Note,2-Year,912828DF4,No,24000000000
2005-01-12,Note,5-Year,912828DG2,No,15000000000
2005-01-26,Note,2-Year,912828DJ6,No,24000000000
2005-02-08,Note,3-Year,912828DK3,No,22000000000
2005-02-09,Note,5-Year,912828DL1,No,15000000000
2005-02-10,Note,10-Year,912828DM9,No,14000000000
2005-02-24,Note,2-Year,912828DN7,No,24000000000
2005-03-09,Note,5-Year,912828DP2,No,15000000000
2005-03-10,Note,9-Year 11-Month,912828DM9,Yes,9000000000
2005-03-30,Note,2-Year,912828DQ0,No,24000000000
2005-04-13,Note,5-Year,912828DR8,No,15000000000
2005-04-27,Note,2-Year,912828DS6,No,24000000000
2005-05-10,Note,3-Year,912828DT4,No,22000000000
2005-05-11,Note,5-Year,912828DU1,No,15000000000
2005-05-12,Note,10-Year,912828DV9,No,14000000000
2005-05-25,Note,2-Year,912828DW7,No,22000000000
