date,scheduled,note
2004-01-28,True,Meeting
2004-03-16,True,Meeting
2004-05-04,True,Meeting
2004-06-30,True,Meeting
2004-08-10,True,Meeting
2004-09-21,True,Meeting
2004-11-10,True,Meeting
2004-12-14,True,Meeting
2005-02-02,True,Meeting
2005-03-22,True,Meeting
2005-05-03,True,Meeting
2005-06-30,True,Meeting
2005-08-09,True,Meeting
2005-09-20,True,Meeting
2005-11-01,True,Meeting
2005-12-13,True,Meeting
2006-01-31,True,Meeting
2006-03-28,True,Meeting
2006-05-10,True,Meeting
2006-06-29,True,Meeting
2006-08-08,True,Meeting
2006-09-20,True,Meeting
2006-10-25,True,Meeting
2006-12-12,True,Meeting
2007-01-31,True,Meeting
2007-03-21,True,Meeting
2007-05-09,True,Meeting
2007-06-28,True,Meeting
2007-08-07,True,Meeting
2007-08-10,False,Conference Call
2007-08-16,False,Conference Call
2007-09-18,True,Meeting
2007-10-31,True,Meeting
2007-12-06,False,Conference Call
2007-12-11,True,Meeting
2008-01-09,False,Conference Call
2008-01-21,False,Conference Call
2008-01-30,True,Meeting
2008-03-10,False,Conference Call
2008-03-18,True,Meeting
2008-04-30,True,Meeting
2008-06-25,True,Meeting
2008-07-24,False,Conference Call
2008-08-05,True,Meeting
2008-09-16,True,Meeting
2008-09-29,False,Conference Call
2008-10-07,False,Conference Call
2008-10-29,True,Meeting
2008-12-16,True,Meeting
2009-01-16,False,Conference Call
2009-01-28,True,Meeting
2009-02-07,False,Conference Call
2009-03-18,True,Meeting
2009-04-29,True,Meeting
2009-06-03,False,Conference Call
2009-06-24,True,Meeting
2009-08-12,True,Meeting
2009-09-23,True,Meeting
2009-11-04,True,Meeting
2009-12-16,True,Meeting
2010-01-27,True,Meeting
2010-03-16,True,Meeting
2010-04-28,True,Meeting
2010-05-09,False,Conference Call
2010-06-23,True,Meeting
2010-08-10,True,Meeting
2010-09-21,True,Meeting
2010-10-15,False,Conference Call
2010-11-03,True,Meeting
2010-12-14,True,Meeting
2011-01-26,True,Meeting
2011-03-15,True,Meeting
2011-04-27,True,Meeting
2011-06-22,True,Meeting
2011-08-01,False,Conference Call
2011-08-09,True,Meeting
2011-09-21,True,Meeting
2011-11-02,True,Meeting
2011-11-28,False,Conference Call
2011-12-13,True,Meeting
2012-01-25,True,Meeting
2012-03-13,True,Meeting
2012-04-25,True,Meeting
2012-06-20,True,Meeting
2012-08-01,True,Meeting
2012-09-13,True,Meeting
2012-10-24,True,Meeting
2012-12-12,True,Meeting
2013-01-30,True,Meeting
2013-03-20,True,Meeting
2013-05-01,True,Meeting
2013-06-19,True,Meeting
2013-07-31,True,Meeting
2013-09-18,True,Meeting
2013-10-16,False,unscheduled
2013-10-30,True,Meeting
2013-12-18,True,Meeting
2014-01-29,True,Meeting
2014-03-04,False,unscheduled
2014-03-19,True,Meeting
2014-04-30,True,Meeting
2014-06-18,True,Meeting
2014-07-30,True,Meeting
2014-09-17,True,Meeting
2014-10-29,True,Meeting
2014-12-17,True,Meeting
2015-01-28,True,Meeting
2015-03-18,True,Meeting
2015-04-29,True,Meeting
2015-06-17,True,Meeting
2015-07-29,True,Meeting
2015-09-17,True,Meeting
2015-10-28,True,Meeting
2015-12-16,True,Meeting
2016-01-27,True,Meeting
2016-03-16,True,Meeting
2016-04-27,True,Meeting
2016-06-15,True,Meeting
2016-07-27,True,Meeting
2016-09-21,True,Meeting
2016-11-02,True,Meeting
2016-12-14,True,Meeting
2017-02-01,True,Meeting
2017-03-15,True,Meeting
2017-05-03,True,Meeting
2017-06-14,True,Meeting
2017-07-26,True,Meeting
2017-09-20,True,Meeting
2017-11-01,True,Meeting
2017-12-13,True,Meeting
2018-01-31,True,Meeting
2018-03-21,True,Meeting
2018-05-02,True,Meeting
2018-06-13,True,Meeting
2018-08-01,True,Meeting
2018-09-26,True,Meeting
2018-11-08,True,Meeting
2018-12-19,True,Meeting
2019-01-30,True,Meeting
2019-03-20,True,Meeting
2019-05-01,True,Meeting
2019-06-19,True,Meeting
2019-07-31,True,Meeting
2019-09-18,True,Meeting
2019-10-04,False,unscheduled
2019-10-30,True,Meeting
2019-12-11,True,Meeting
2020-01-29,True,Meeting
2020-03-02,False,unscheduled
2020-03-15,False,unscheduled
2020-03-18,False,cancelled
2020-03-19,False,notation vote
2020-03-23,False,notation vote
2020-03-31,False,notation vote
2020-04-29,True,Meeting
2020-06-10,True,Meeting
2020-07-29,True,Meeting
2020-08-27,False,notation vote
2020-09-16,True,Meeting
2020-11-05,True,Meeting
