date,value,name
2004-01-02,12.37,VXTLT
2004-01-05,12.99,VXTLT
2004-01-06,12.02,VXTLT
2004-01-07,11.03,VXTLT
2004-01-08,11.37,VXTLT
2004-01-09,10.52,VXTLT
2004-01-12,10.51,VXTLT
2004-01-13,10.23,VXTLT
2004-01-14,10.95,VXTLT
2004-01-15,10.84,VXTLT
2004-01-16,10.99,VXTLT
2004-01-20,11.76,VXTLT
2004-01-21,11.0,VXTLT
2004-01-22,11.12,VXTLT
2004-01-23,11.56,VXTLT
2004-01-26,12.21,VXTLT
2004-01-27,12.03,VXTLT
2004-01-28,12.04,VXTLT
2004-01-29,12.42,VXTLT
2004-01-30,11.88,VXTLT
2004-02-02,12.19,VXTLT
2004-02-03,12.29,VXTLT
2004-02-04,12.35,VXTLT
2004-02-05,13.2,VXTLT
2004-02-06,11.76,VXTLT
2004-02-09,11.41,VXTLT
2004-02-10,11.76,VXTLT
2004-02-11,10.46,VXTLT
2004-02-12,10.57,VXTLT
2004-02-13,10.28,VXTLT
2004-02-17,9.99,VXTLT
2004-02-18,10.26,VXTLT
2004-02-19,10.26,VXTLT
2004-02-20,10.3,VXTLT
2004-02-23,9.66,VXTLT
2004-02-24,9.91,VXTLT
2004-02-25,10.05,VXTLT
2004-02-26,10.0,VXTLT
2004-02-27,10.09,VXTLT
2004-03-01,10.51,VXTLT
2004-03-02,10.96,VXTLT
2004-03-03,11.11,VXTLT
2004-03-04,10.39,VXTLT
2004-03-05,9.62,VXTLT
2004-03-08,10.05,VXTLT
2004-03-09,10.46,VXTLT
2004-03-10,10.4,VXTLT
2004-03-11,10.79,VXTLT
2004-03-12,11.1,VXTLT
2004-03-15,11.06,VXTLT
2004-03-16,10.68,VXTLT
2004-03-17,11.23,VXTLT
2004-03-18,11.08,VXTLT
2004-03-19,10.76,VXTLT
2004-03-22,10.77,VXTLT
2004-03-23,10.69,VXTLT
2004-03-24,10.9,VXTLT
2004-03-25,11.29,VXTLT
2004-03-26,11.48,VXTLT
2004-03-29,11.78,VXTLT
2004-03-30,11.64,VXTLT
2004-03-31,11.51,VXTLT
2004-04-01,12.58,VXTLT
2004-04-02,12.14,VXTLT
2004-04-05,12.48,VXTLT
2004-04-06,11.43,VXTLT
2004-04-07,11.42,VXTLT
2004-04-08,11.71,VXTLT
2004-04-12,11.24,VXTLT
2004-04-13,11.43,VXTLT
2004-04-14,11.58,VXTLT
2004-04-15,11.84,VXTLT
2004-04-16,11.46,VXTLT
2004-04-19,12.53,VXTLT
2004-04-20,12.72,VXTLT
2004-04-21,12.06,VXTLT
2004-04-22,10.88,VXTLT
2004-04-23,11.21,VXTLT
2004-04-26,11.73,VXTLT
2004-04-27,11.79,VXTLT
2004-04-28,12.57,VXTLT
2004-04-29,12.36,VXTLT
2004-04-30,12.23,VXTLT
2004-05-03,12.89,VXTLT
2004-05-04,13.06,VXTLT
2004-05-05,13.19,VXTLT
2004-05-06,13.75,VXTLT
2004-05-07,12.33,VXTLT
2004-05-10,12.13,VXTLT
2004-05-11,11.67,VXTLT
2004-05-12,12.03,VXTLT
2004-05-13,11.84,VXTLT
2004-05-14,11.76,VXTLT
2004-05-17,11.71,VXTLT
2004-05-18,11.23,VXTLT
2004-05-19,11.64,VXTLT
2004-05-20,11.53,VXTLT
2004-05-21,11.56,VXTLT
2004-05-24,11.58,VXTLT
2004-05-25,10.87,VXTLT
2004-05-26,11.08,VXTLT
2004-05-27,11.06,VXTLT
2004-05-28,10.91,VXTLT
2004-06-01,11.66,VXTLT
2004-06-02,11.64,VXTLT
2004-06-03,11.78,VXTLT
2004-06-04,10.82,VXTLT
2004-06-07,10.14,VXTLT
2004-06-08,9.85,VXTLT
2004-06-09,10.22,VXTLT
2004-06-10,10.35,VXTLT
2004-06-14,11.33,VXTLT
2004-06-15,10.0,VXTLT
2004-06-16,10.21,VXTLT
2004-06-17,9.88,VXTLT
2004-06-18,9.56,VXTLT
2004-06-21,9.77,VXTLT
2004-06-22,10.12,VXTLT
2004-06-23,10.08,VXTLT
2004-06-24,10.66,VXTLT
2004-06-25,10.24,VXTLT
2004-06-28,10.32,VXTLT
2004-06-29,10.36,VXTLT
2004-06-30,9.79,VXTLT
2004-07-01,9.5,VXTLT
2004-07-02,9.09,VXTLT
2004-07-06,9.57,VXTLT
2004-07-07,9.69,VXTLT
2004-07-08,9.44,VXTLT
2004-07-09,9.49,VXTLT
2004-07-12,10.04,VXTLT
2004-07-13,10.33,VXTLT
2004-07-14,10.18,VXTLT
2004-07-15,10.27,VXTLT
2004-07-16,9.11,VXTLT
2004-07-19,9.76,VXTLT
2004-07-20,9.94,VXTLT
2004-07-21,9.71,VXTLT
2004-07-22,9.26,VXTLT
2004-07-23,9.35,VXTLT
2004-07-26,9.35,VXTLT
2004-07-27,10.16,VXTLT
2004-07-28,10.08,VXTLT
2004-07-29,10.12,VXTLT
2004-07-30,10.09,VXTLT
2004-08-02,10.67,VXTLT
2004-08-03,10.77,VXTLT
2004-08-04,10.59,VXTLT
2004-08-05,10.72,VXTLT
2004-08-06,9.89,VXTLT
2004-08-09,10.11,VXTLT
2004-08-10,9.9,VXTLT
2004-08-11,9.78,VXTLT
2004-08-12,9.54,VXTLT
2004-08-13,9.67,VXTLT
2004-08-16,9.53,VXTLT
2004-08-17,10.02,VXTLT
2004-08-18,10.31,VXTLT
2004-08-19,10.29,VXTLT
2004-08-20,10.35,VXTLT
2004-08-23,10.44,VXTLT
2004-08-24,10.66,VXTLT
2004-08-25,10.46,VXTLT
2004-08-26,10.43,VXTLT
2004-08-27,9.96,VXTLT
2004-08-30,10.45,VXTLT
2004-08-31,10.34,VXTLT
2004-09-01,10.56,VXTLT
2004-09-02,11.17,VXTLT
2004-09-03,8.9,VXTLT
2004-09-07,9.25,VXTLT
2004-09-08,9.65,VXTLT
2004-09-09,8.97,VXTLT
2004-09-10,9.02,VXTLT
2004-09-13,9.2,VXTLT
2004-09-14,8.73,VXTLT
2004-09-15,8.75,VXTLT
2004-09-16,9.54,VXTLT
2004-09-17,9.03,VXTLT
2004-09-20,9.44,VXTLT
2004-09-21,9.31,VXTLT
2004-09-22,9.33,VXTLT
2004-09-23,9.75,VXTLT
2004-09-24,9.63,VXTLT
2004-09-27,9.65,VXTLT
2004-09-28,10.16,VXTLT
2004-09-29,9.78,VXTLT
2004-09-30,10.13,VXTLT
2004-10-01,9.67,VXTLT
2004-10-04,10.1,VXTLT
2004-10-05,9.16,VXTLT
2004-10-06,9.46,VXTLT
2004-10-07,9.65,VXTLT
2004-10-08,8.33,VXTLT
2004-10-11,8.61,VXTLT
2004-10-12,8.36,VXTLT
2004-10-13,7.91,VXTLT
2004-10-14,8.93,VXTLT
2004-10-15,8.42,VXTLT
2004-10-18,8.11,VXTLT
2004-10-19,8.3,VXTLT
2004-10-20,8.71,VXTLT
2004-10-21,8.5,VXTLT
2004-10-22,8.53,VXTLT
2004-10-25,9.41,VXTLT
2004-10-26,9.32,VXTLT
2004-10-27,9.42,VXTLT
2004-10-28,9.64,VXTLT
2004-10-29,9.21,VXTLT
2004-11-01,9.79,VXTLT
2004-11-02,9.52,VXTLT
2004-11-03,9.32,VXTLT
2004-11-04,9.31,VXTLT
2004-11-05,9.17,VXTLT
2004-11-08,9.56,VXTLT
2004-11-09,9.3,VXTLT
2004-11-10,8.72,VXTLT
2004-11-11,9.17,VXTLT
2004-11-12,8.82,VXTLT
2004-11-15,8.9,VXTLT
2004-11-16,8.88,VXTLT
2004-11-17,8.49,VXTLT
2004-11-18,8.58,VXTLT
2004-11-19,9.03,VXTLT
2004-11-22,8.9,VXTLT
2004-11-23,9.13,VXTLT
2004-11-24,9.12,VXTLT
2004-11-26,9.42,VXTLT
2004-11-29,10.1,VXTLT
2004-11-30,9.81,VXTLT
2004-12-01,10.11,VXTLT
2004-12-02,10.23,VXTLT
2004-12-03,9.24,VXTLT
2004-12-06,8.59,VXTLT
2004-12-07,8.33,VXTLT
2004-12-08,8.84,VXTLT
2004-12-09,8.87,VXTLT
2004-12-10,8.86,VXTLT
2004-12-13,9.08,VXTLT
2004-12-14,9.26,VXTLT
2004-12-15,9.81,VXTLT
2004-12-16,10.43,VXTLT
2004-12-17,10.48,VXTLT
2004-12-20,10.06,VXTLT
2004-12-21,9.92,VXTLT
2004-12-22,9.7,VXTLT
2004-12-23,9.18,VXTLT
2004-12-27,10.41,VXTLT
2004-12-28,10.19,VXTLT
2004-12-29,10.16,VXTLT
2004-12-30,10.43,VXTLT
2004-12-31,10.21,VXTLT
2005-01-03,10.59,VXTLT
2005-01-04,10.37,VXTLT
2005-01-05,10.5,VXTLT
2005-01-06,10.63,VXTLT
2005-01-07,9.19,VXTLT
2005-01-10,9.38,VXTLT
2005-01-11,9.59,VXTLT
2005-01-12,9.28,VXTLT
2005-01-13,8.91,VXTLT
2005-01-14,9.39,VXTLT
2005-01-18,9.98,VXTLT
2005-01-19,9.34,VXTLT
2005-01-20,9.64,VXTLT
2005-01-21,9.57,VXTLT
2005-01-24,9.86,VXTLT
2005-01-25,9.65,VXTLT
2005-01-26,9.73,VXTLT
2005-01-27,9.53,VXTLT
2005-01-28,9.53,VXTLT
2005-01-31,9.84,VXTLT
2005-02-01,9.76,VXTLT
2005-02-02,9.47,VXTLT
